iter	Passed	Remaining
654	821	432
655	822	431
656	823	429
657	823	428
658	824	426
659	825	425
660	826	423
661	827	422
662	828	420
663	829	419
664	830	418
665	831	416
666	832	415
667	833	414
668	834	412
669	835	411
670	836	410
671	837	408
672	838	407
673	839	405
674	839	404
675	840	402
676	841	401
677	842	400
678	843	398
679	844	397
680	845	395
681	846	394
682	846	393
683	848	391
684	849	390
685	850	389
686	851	387
687	852	386
688	853	385
689	853	383
690	854	382
691	855	380
692	856	379
693	857	378
694	858	376
695	859	375
696	859	373
697	860	372
698	861	370
699	862	369
700	863	368
701	864	367
702	865	365
703	866	364
704	867	362
705	867	361
706	868	359
707	869	358
708	870	357
709	871	355
710	871	354
711	872	353
712	873	351
713	874	350
714	875	348
715	876	347
716	876	346
717	878	344
718	879	343
719	880	342
720	881	340
721	881	339
722	882	338
723	883	336
724	884	335
725	885	334
726	886	332
727	887	331
728	887	330
729	888	328
730	889	327
731	890	326
732	891	324
733	893	323
734	894	322
735	895	321
736	896	319
737	896	318
738	897	317
739	898	315
740	899	314
741	900	313
742	901	311
743	902	310
744	903	309
745	903	307
746	904	306
747	905	305
748	906	303
749	907	302
750	908	301
751	909	299
752	910	298
753	911	297
754	912	295
755	913	294
756	913	293
757	914	292
758	915	290
759	916	289
760	917	288
761	918	286
762	918	285
763	919	284
764	920	282
765	921	281
766	923	280
767	924	279
768	925	277
769	925	276
770	926	275
771	927	273
772	928	272
773	929	271
774	930	270
775	930	268
776	931	267
777	932	266
778	933	264
779	934	263
780	934	262
781	936	260
782	937	259
783	938	258
784	939	257
785	940	255
786	940	254
787	941	253
788	942	252
789	943	250
790	944	249
791	945	248
792	945	246
793	946	245
794	947	244
795	948	243
796	949	241
797	950	240
798	951	239
799	952	238
800	953	236
801	953	235
802	954	234
803	955	232
804	956	231
805	957	230
806	958	229
807	958	227
808	959	226
809	960	225
810	961	224
811	962	222
812	962	221
813	963	220
814	964	218
815	965	217
816	967	216
817	968	215
818	968	214
819	969	212
820	970	211
821	971	210
822	972	209
823	972	207
824	973	206
825	974	205
826	975	204
827	976	202
828	977	201
829	977	200
830	978	199
831	979	197
832	981	196
833	982	195
834	983	194
835	983	193
836	984	191
837	985	190
838	986	189
839	987	188
840	987	186
841	988	185
842	989	184
843	990	183
844	991	181
845	992	180
846	993	179
847	994	178
848	995	177
849	996	175
850	996	174
851	997	173
852	998	172
853	999	170
854	1000	169
855	1000	168
856	1001	167
857	1002	165
858	1003	164
859	1004	163
860	1004	162
861	1005	161
862	1006	159
863	1007	158
864	1008	157
865	1009	156
866	1010	155
867	1011	153
868	1012	152
869	1013	151
870	1014	150
871	1015	148
872	1015	147
873	1016	146
874	1017	145
875	1018	144
876	1019	142
877	1019	141
878	1020	140
879	1021	139
880	1022	138
881	1024	137
882	1025	135
883	1026	134
884	1027	133
885	1027	132
886	1028	131
887	1029	129
888	1030	128
889	1031	127
890	1032	126
891	1032	125
892	1033	123
893	1034	122
894	1035	121
895	1036	120
896	1037	119
897	1038	117
898	1039	116
899	1040	115
900	1040	114
901	1041	113
902	1042	112
903	1043	110
904	1044	109
905	1045	108
906	1045	107
907	1046	106
908	1047	104
909	1048	103
910	1049	102
911	1050	101
912	1051	100
913	1053	99
914	1054	97
915	1055	96
916	1056	95
917	1057	94
918	1057	93
919	1058	92
920	1059	90
921	1060	89
922	1061	88
923	1062	87
924	1062	86
925	1063	85
926	1064	83
927	1065	82
928	1066	81
929	1067	80
930	1068	79
931	1069	78
932	1070	76
933	1071	75
934	1071	74
935	1072	73
936	1073	72
937	1074	71
938	1075	69
939	1076	68
940	1077	67
941	1077	66
942	1078	65
943	1079	64
944	1080	62
945	1081	61
946	1082	60
947	1083	59
948	1084	58
949	1085	57
950	1085	55
951	1086	54
952	1087	53
953	1088	52
954	1089	51
955	1089	50
956	1090	49
957	1091	47
958	1092	46
959	1093	45
960	1094	44
961	1095	43
962	1096	42
963	1097	40
964	1098	39
965	1099	38
966	1100	37
967	1101	36
968	1101	35
969	1102	34
970	1103	32
971	1104	31
972	1105	30
973	1106	29
974	1107	28
975	1108	27
976	1108	26
977	1109	24
978	1111	23
979	1112	22
980	1113	21
981	1113	20
982	1114	19
983	1115	18
984	1116	16
985	1117	15
986	1117	14
987	1118	13
988	1119	12
989	1120	11
990	1121	10
991	1122	9
992	1123	7
993	1124	6
994	1125	5
995	1126	4
996	1127	3
997	1128	2
998	1129	1
999	1129	0
